id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price_range,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
571,New Clean Spacious Bed & Breakfast,1109658,Carmel,Staten Island,Emerson Hill,40.60742,-74.14388,Private room,8,80,2,2,2/8/2018,0.05,1,158
572,"Sunny, calm room in Victorian home",1112560,Mary,Brooklyn,Bedford-Stuyvesant,40.68741,-73.95741,Private room,8,79,3,152,6/25/2019,1.6,3,192
573,Modern Unique Studio in NYC,864735,Jason,Queens,Long Island City,40.75627,-73.9211,Entire home/apt,10,95,30,24,3/31/2019,0.25,8,358
574,"2 Bed, 2 Bath Apartment on Central Park West",1114587,Keenan & Emily,Manhattan,Upper West Side,40.79816,-73.9619,Entire home/apt,30,300,2,45,4/22/2019,0.47,3,31
575,"Luxury Furnished 1 bedro, Bay Ridge",1121193,Samuel,Brooklyn,Fort Hamilton,40.61927,-74.0307,Entire home/apt,10,100,30,7,11/14/2018,0.08,1,241
576,Your Haven in the Upper West Side,1129218,Orlando,Manhattan,Harlem,40.8078,-73.95208,Private room,8,80,7,19,6/3/2019,0.35,1,285
577,"Wonderful Studio In Brooklyn, NY!!!",447754,Yana,Brooklyn,Bensonhurst,40.61922,-73.99399,Entire home/apt,11,110,1,24,1/19/2019,0.26,1,183
578,A Cozy Brooklyn Hideaway,759583,Pepe,Brooklyn,Clinton Hill,40.68275,-73.96148,Entire home/apt,17,172,4,8,10/14/2017,0.09,2,189
579,✿✿✿ COUNTRY COTTAGE IN THE CITY✿✿✿,1138692,Keera (Jena),Manhattan,Lower East Side,40.71813,-73.98416,Entire home/apt,20,199,1,29,6/3/2015,0.31,2,162
580,✿✿✿ COUNTRY COTTAGE IN THE CITY✿✿✿,1138692,Keera (Jena),Manhattan,Lower East Side,40.71892,-73.98401,Entire home/apt,20,199,1,14,7/20/2015,0.15,2,158
581,"Lovely Bdr in Harlem, Manhattan",1139574,Carmel,Manhattan,Harlem,40.816,-73.95545,Private room,10,100,1,33,5/25/2019,0.38,1,84
582,THE BEST DEAL ON THE HUDSON RIVER!!,921500,Boubacar And Pattee,Manhattan,Harlem,40.82748,-73.95153,Private room,6,55,4,99,2/28/2019,1.04,1,260
583,Lovely HUGE Master Bed + Study,918087,Kestrel,Brooklyn,Bedford-Stuyvesant,40.68634,-73.95088,Private room,8,75,3,59,1/5/2017,0.62,3,0
584,Newly Reno’d Chic Quiet Exec 1BR,1144415,Lisa,Manhattan,East Village,40.72229,-73.97901,Entire home/apt,15,146,3,142,6/16/2019,1.5,1,166
585,1 Bedroom in prime Flatiron,846050,Eziah,Manhattan,NoHo,40.72956,-73.99287,Private room,25,250,2,0,,,1,0
586,Large Artist Floorthru- Greenpoint,1146744,Deborah,Brooklyn,Greenpoint,40.72595,-73.95298,Entire home/apt,12,116,29,22,3/15/2019,0.23,1,335
587,Gorgeous PermaGO Private Room in FiDi - 1/2,4887492,Gershwyn,Manhattan,Tribeca,40.71193,-74.00817,Private room,15,150,3,82,5/21/2019,0.87,2,90
588,CBG Helps Haiti Rm #3,22486,Lisel,Brooklyn,Park Slope,40.68012,-73.97847,Private room,12,120,2,23,9/15/2018,0.24,6,342
589,BEST DEAL IN CHELSEA 1 bdrm NYC,1153993,Anton,Manhattan,Chelsea,40.74233,-73.99865,Entire home/apt,20,199,4,32,5/8/2019,0.34,1,28
590,Lovely Apartment,1164642,Rosalynn,Brooklyn,Prospect Heights,40.67424,-73.96665,Entire home/apt,15,150,5,24,6/23/2019,0.25,1,363
591,Artsy Loft-like Harlem Apartment,1165231,Deirdre,Manhattan,Harlem,40.80486,-73.95298,Private room,7,69,1,59,10/26/2018,0.63,2,86
592,Harlem/Manhattan Classic Apartment,1165231,Deirdre,Manhattan,Harlem,40.80307,-73.95048,Private room,30,300,55,6,1/2/2015,0.08,2,83
593,"BEAUTIFUL APARTMENT, GREAT LOCATION",991380,Stefania,Brooklyn,Boerum Hill,40.68653,-73.98562,Entire home/apt,23,230,4,18,7/5/2018,0.21,1,0
594,Quiet sunny studio Midtown,1173599,Gaya,Manhattan,Midtown,40.74267,-73.98569,Entire home/apt,13,125,4,3,12/26/2018,0.03,1,0
595,Charming room in Victorian home,1112560,Mary,Brooklyn,Bedford-Stuyvesant,40.68749,-73.95494,Private room,8,79,3,115,7/5/2019,1.21,3,264
596,Brooklyn B & B close to Manhattan,663879,Christopher,Brooklyn,Fort Greene,40.68645,-73.97538,Private room,13,130,3,154,6/19/2019,1.63,2,305
597,The Notorious B.N.B. { The Erhart },1177497,Jessica,Brooklyn,Clinton Hill,40.68999,-73.96711,Private room,24,239,1,164,7/1/2019,1.73,11,356
598,Sunny cozy multileveled apartment!,1177947,Marina,Staten Island,Shore Acres,40.61077,-74.06824,Entire home/apt,8,75,6,76,6/13/2019,0.8,1,278
599,Sunny 2 bedroom Williamsburg Duplex w/ 3 beds,815977,Ryan,Brooklyn,Williamsburg,40.71126,-73.94576,Entire home/apt,22,220,3,116,6/30/2019,1.23,2,135
600,ROOM WITH KITCHENETTE #2,209460,Marylyn,Brooklyn,Bedford-Stuyvesant,40.67855,-73.94949,Entire home/apt,8,80,3,234,6/30/2019,2.47,4,308
601,Alpha-Bet City entire floor large cool 2br -L.E.S,1187935,Daniel,Manhattan,East Village,40.72416,-73.9853,Entire home/apt,29,288,2,120,6/24/2019,1.27,1,229
602,"Your Haven Awaits At ""Emma's Place""",1191142,Lady Jay,Brooklyn,Bedford-Stuyvesant,40.68516,-73.92521,Entire home/apt,14,135,4,82,5/18/2019,0.87,1,273
603,"Spacious, Kid-Friendly 2 BR in West Village",1192424,Gordon,Manhattan,West Village,40.73507,-74.00048,Entire home/apt,23,225,3,13,5/26/2019,0.15,1,83
604,Great Bedroom in Downtown Manhattan,1192610,Raven,Manhattan,Chinatown,40.71611,-73.99828,Private room,11,110,30,59,6/24/2019,0.64,1,281
605,Beautiful Brownstone,1194377,Marceline,Brooklyn,Bedford-Stuyvesant,40.67964,-73.93946,Entire home/apt,10,100,7,63,6/26/2019,1.87,1,321
606,1BDR - Hell's Kitchen Hideaway,1190088,Tim,Manhattan,Hell's Kitchen,40.76189,-73.99,Private room,13,130,2,52,8/14/2018,0.55,1,303
607,COMFY ROOM/COFFEE AND BAGEL/WEEKLY DISCOUNT,1097545,Carol,Manhattan,East Village,40.72645,-73.98035,Private room,9,89,1,278,7/3/2019,2.95,3,192
608,Oversized Studio in Park Slope,507304,Derrick,Brooklyn,Sunset Park,40.66293,-73.99833,Entire home/apt,20,200,5,1,1/2/2012,0.01,1,0
609,Apt with EmpireState view-Subway around the corner,1203500,Civan,Brooklyn,Bedford-Stuyvesant,40.69046,-73.95167,Entire home/apt,8,80,2,35,6/9/2019,0.4,1,36
610,Zen Yankee Stadium Pad 5 Minutes To Manhattan!,12221,Lori,Bronx,Concourse,40.83001,-73.92158,Private room,5,50,5,235,6/29/2019,2.49,2,271
611,Monthly Apartment Rental,292204,Blanca,Manhattan,East Harlem,40.79239,-73.94535,Entire home/apt,14,135,28,115,6/30/2019,1.21,2,341
612,Wonderfully inviting East Village,1207399,Mark,Manhattan,East Village,40.72709,-73.98274,Private room,9,90,1,109,10/2/2015,1.15,1,333
613,TURQUOISE: One-Bedroom Apt. in Soho,1184442,Roberto,Manhattan,SoHo,40.72599,-74.00168,Private room,27,270,5,1,7/9/2013,0.01,1,210
614,"Lovely pied-à-terre, in an historic building",1217241,Dee,Brooklyn,Bedford-Stuyvesant,40.68309,-73.94219,Entire home/apt,11,110,3,305,6/27/2019,3.24,1,231
615,"Spacious, well furnished, high fl. beautiful views",763420,Selma,Manhattan,East Harlem,40.79442,-73.93433,Entire home/apt,15,145,1,102,6/18/2019,1.52,1,308
616,NYC Studio in Heart of Times Square,1220414,Michael,Manhattan,Hell's Kitchen,40.76166,-73.99675,Entire home/apt,18,179,30,83,5/31/2019,0.88,1,292
617,rooms for rent in Queens with piano,1012895,Melody,Queens,Ridgewood,40.70163,-73.90867,Private room,6,55,1,19,7/31/2018,0.25,1,311
618,Large Sunny Luxe Prvt Room/Midtown,1223568,Tiffany,Manhattan,Midtown,40.75575,-73.96842,Private room,11,110,2,61,5/18/2019,0.65,1,264
619,Spacious Stunning Harlem Townhouse,902054,William,Manhattan,Harlem,40.80903,-73.94197,Entire home/apt,33,325,5,89,6/30/2019,0.94,1,153
620,Private Room With GREAT Location,1229984,John,Queens,Long Island City,40.74581,-73.95295,Private room,8,75,30,65,7/31/2017,0.74,3,219
621,HUGE Sunny Duplex Loft with Garden,1234405,Bertie,Brooklyn,South Slope,40.66414,-73.98574,Entire home/apt,30,300,1,40,6/16/2019,0.44,1,0
622,LARGE ARTSY Room w/ Loft Bed 4 DOOGLERS!,83257,Olan,Manhattan,West Village,40.74,-74.00381,Private room,13,130,30,80,4/26/2019,0.86,2,332
623,Stylish Studio with exclusive Terrace,1236070,Dan,Manhattan,Midtown,40.75348,-73.97065,Entire home/apt,19,190,30,136,6/19/2019,1.45,1,120
624,"LES private apt, 1 bedroom & more",1236817,Blue,Manhattan,Lower East Side,40.72066,-73.98506,Entire home/apt,20,200,3,100,5/28/2018,1.06,1,191
625,"Williamsburg Garden Home, 5 minutes from Manhattan",1240820,Triny,Brooklyn,Williamsburg,40.71746,-73.95497,Entire home/apt,18,180,2,125,7/6/2019,1.36,3,248
626,"HUGE, modern 2-LEVEL Brooklyn apt",4166168,Nick And Noémie,Brooklyn,DUMBO,40.70257,-73.9847,Entire home/apt,35,350,5,40,4/14/2019,0.5,1,67
627,charming 2bdrm apt in East Village,1151987,Juvie,Manhattan,East Village,40.72264,-73.9837,Entire home/apt,16,160,4,0,,,1,0
628,LOCATION LOCATION LOCATION Liz's,1146958,Liz,Manhattan,Kips Bay,40.73833,-73.98186,Entire home/apt,20,195,30,139,4/28/2019,1.59,4,325
629,Manhattan Loft in Prime East Village Location,1243192,Jacqueline,Manhattan,Greenwich Village,40.73268,-73.99255,Entire home/apt,24,241,30,0,,,1,249
630,Nolita Penthouse_Private Deck_Elev_,65064,Ashley & Nir,Manhattan,Chinatown,40.71892,-73.99628,Entire home/apt,30,300,7,2,10/6/2014,0.03,1,0
631,Astoria Garden Suite,1256874,Nancy,Queens,Ditmars Steinway,40.77679,-73.91687,Entire home/apt,8,75,28,49,6/26/2019,0.53,1,313
632,Lower East Side/Chinatown 1 Bedroom,1257309,Austin,Manhattan,Lower East Side,40.71693,-73.98948,Entire home/apt,10,100,5,8,5/18/2018,0.11,1,0
633,"Amazing 1 bed, live like a Newyorkr",1257760,Jay,Manhattan,Gramercy,40.73685,-73.98359,Entire home/apt,40,399,1,0,,,1,12
634,Private Room in Fort Green BK close to city,136962,Li,Brooklyn,Fort Greene,40.68501,-73.97019,Private room,9,85,5,124,5/25/2019,1.32,1,69
635,Spacious & Charming by Prospect Pk,1258363,Todd,Brooklyn,Prospect-Lefferts Gardens,40.66068,-73.96003,Entire home/apt,8,80,21,5,12/19/2018,0.12,1,0
636,Private Room Near Brooklyn Museum ,1263176,Joseph,Brooklyn,Prospect Heights,40.67722,-73.96542,Private room,6,55,1,147,6/30/2019,1.57,1,293
637,The Notorious B.N.B. { The Wallace },1177497,Jessica,Brooklyn,Clinton Hill,40.68975,-73.96703,Private room,44,438,1,43,4/14/2019,0.46,11,363
638,Clinton Hill 1 Bed Bright Loft Apartment,1264655,Ruari,Brooklyn,Bedford-Stuyvesant,40.69221,-73.95866,Entire home/apt,11,110,6,8,1/3/2019,0.33,1,4
639,Great Studio in W. Village - NYC!,1269455,Mike,Manhattan,West Village,40.72969,-74.00635,Entire home/apt,20,200,2,37,1/2/2019,0.39,1,257
640,The Notorious B.N.B. { The Swoon },1177497,Jessica,Brooklyn,Clinton Hill,40.6893,-73.96602,Private room,28,279,1,120,6/19/2019,1.28,11,362
641,"BIG 1br, SLEEPS 4, dishwashr, TV",1273825,Lauryn,Brooklyn,Williamsburg,40.70832,-73.94157,Entire home/apt,14,137,1,24,1/1/2019,0.29,1,0
642,2BR  Apt - 20min to Soho,1276497,Alon,Brooklyn,Bedford-Stuyvesant,40.68016,-73.94878,Entire home/apt,28,280,3,5,7/9/2017,0.05,1,365
643,Williamsburg  - Quiet and Comfy stay,288711,Andy,Brooklyn,Williamsburg,40.70875,-73.95508,Entire home/apt,20,199,30,242,4/1/2019,2.59,1,102
644,One Fabulous Private Room,714200,Baron,Manhattan,Inwood,40.85888,-73.92886,Private room,7,71,4,229,6/21/2019,2.45,1,26
645,NY/ Big Room for 2 near Manhattan,1260921,Victor,Bronx,Kingsbridge,40.8679,-73.90023,Private room,4,42,2,108,6/19/2019,1.36,2,302
646,Brooklyn Brownstone apartment,1288460,Al-,Brooklyn,Bedford-Stuyvesant,40.6889,-73.95383,Entire home/apt,18,180,2,181,6/5/2019,1.92,1,280
647,big 1 bedroom apt very central,825022,Jaidev,Manhattan,Chelsea,40.75127,-73.99637,Entire home/apt,23,226,5,34,7/1/2019,0.39,1,302
648,"Lovely, Large Room in Crown Heights",283604,Shelley,Brooklyn,Crown Heights,40.67607,-73.94421,Private room,9,85,3,5,10/2/2016,0.05,1,281
649,"Sweet Apt, Steps From Gramercy Park",1292250,Jerry,Manhattan,Gramercy,40.73834,-73.9823,Entire home/apt,14,135,1,5,8/17/2015,0.06,1,0
650,Quality Cozy Studio Next to Subway,3647,Rafael,Queens,Elmhurst,40.7347,-73.88066,Entire home/apt,8,79,4,60,6/25/2019,0.64,2,297
651,Scandinavian-apt for up to 5. LES,936630,Jens,Manhattan,Lower East Side,40.71876,-73.98851,Entire home/apt,15,154,1,238,6/23/2019,2.59,1,246
652,Loft Suite @ Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73787,-73.95385,Entire home/apt,20,199,3,34,4/22/2019,0.37,28,60
653,4 BEDROOM -2BATHRM WEST VILLAGE DUPLEX  TOWNHOUSE,605463,West Village,Manhattan,West Village,40.73066,-74.00287,Entire home/apt,70,700,3,131,6/24/2019,1.4,4,296
654,Large & bright 900ft² 1br in WV,1306587,Andy,Manhattan,West Village,40.73291,-74.00059,Entire home/apt,25,246,4,6,6/28/2017,0.16,1,0
655,At a very nice area in the WestSide,1307773,Karina,Manhattan,Washington Heights,40.85099,-73.92822,Private room,13,125,60,4,7/3/2015,0.06,1,364
656,HANCOCK VERY SMALL ROOM,758441,Fred,Brooklyn,Bedford-Stuyvesant,40.68707,-73.91918,Private room,10,100,1,7,10/7/2018,0.08,4,281
657,Pre-War Williamsburg Loft,1311398,Ben,Brooklyn,Williamsburg,40.7184,-73.96019,Entire home/apt,30,295,5,125,7/7/2019,3.04,1,0
658,1 Bedroom Available In My Two Bedroom Flat,945499,Kyle,Brooklyn,Crown Heights,40.67495,-73.95563,Private room,15,150,3,0,,,1,0
659,SPACIOUS PRIVATE LITTLE ITALY FLAT,1311870,Christy,Manhattan,Chinatown,40.71582,-73.99902,Entire home/apt,12,119,1,49,12/3/2014,0.58,1,0
660,The Lenox in Harlem,1313306,Yvette,Manhattan,Harlem,40.81068,-73.94288,Private room,13,125,1,11,9/25/2017,0.12,2,365
661,The Lenox in Harlem,1313306,Yvette,Manhattan,Harlem,40.81122,-73.94279,Entire home/apt,40,400,5,0,,,2,365
662, Heart & Soul of Greenwich Village ,1314834,Rhona,Manhattan,Greenwich Village,40.73129,-73.99944,Entire home/apt,85,850,3,107,5/23/2019,1.15,1,249
663,Prime Williamsburg Loft off Bedford,1278802,Anne,Brooklyn,Williamsburg,40.71628,-73.95737,Private room,13,129,2,241,6/29/2019,2.6,1,303
664,Private Bdrm /Bath 1 block Ctrl Prk,1317343,Carol,Manhattan,Upper West Side,40.78558,-73.9726,Private room,14,140,1,176,6/29/2019,1.89,1,300
665,+Highly Satisfactory LES dwelling++,297769,Tunji,Manhattan,Chinatown,40.7146,-73.991,Private room,12,115,4,151,6/16/2019,1.63,2,323
666,Whole apartment / 2 bedroom in NYC,1325961,Chris,Manhattan,East Harlem,40.79493,-73.94462,Entire home/apt,20,200,3,49,8/9/2018,0.53,2,0
667,"Spacious, modern loft in awesome neighborhood",552343,Cynthia,Brooklyn,Sunset Park,40.6623,-73.99049,Entire home/apt,10,96,120,13,9/1/2018,0.14,1,204
668,Loft Suite @ The Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73693,-73.95284,Entire home/apt,20,199,3,33,6/24/2019,0.47,28,60
669,Loft Suite @ The Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73641,-73.9533,Entire home/apt,20,199,3,24,11/6/2018,0.32,28,84
670,Loft Suite @ The Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73794,-73.95254,Entire home/apt,20,199,3,59,6/24/2019,0.66,28,60
671,Well Kept  Private Room around  Brighton  Beach,1331493,Olia,Brooklyn,Brighton Beach,40.58147,-73.96726,Private room,7,69,1,2,6/25/2015,0.04,1,303
672,Large 1 Bedroom furnished on UWS,1331850,G,Manhattan,Upper West Side,40.79771,-73.96323,Entire home/apt,19,185,2,16,6/28/2019,0.23,1,261
673,Chez Carine - Privacy in Manhattan,1332108,Cici,Manhattan,Harlem,40.81512,-73.94692,Private room,8,81,2,72,11/26/2018,0.77,1,0
674,Loft Suite @ Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.7373,-73.95323,Entire home/apt,20,199,3,24,4/25/2019,0.26,28,60
675,Loft Suite @ The Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73708,-73.95271,Entire home/apt,20,199,3,23,6/22/2019,0.26,28,60
676,Loft Suite @ The Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73652,-73.95236,Entire home/apt,20,199,3,43,7/2/2019,0.47,28,60
677,Loft Suite @ The Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73693,-73.95316,Entire home/apt,20,199,3,30,7/3/2019,0.32,28,56
678,Loft Suite @ The Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73784,-73.95324,Entire home/apt,20,199,3,39,6/29/2019,0.44,28,84
679,Duplex w/ Terrace @ Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73674,-73.95247,Private room,35,349,3,8,7/26/2018,0.09,28,58
680,Loft w/ Terrace @ Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73783,-73.95259,Private room,25,249,3,3,11/3/2015,0.03,28,60
681,1 BR w/ Terrace @ Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73714,-73.95296,Private room,30,299,3,6,4/19/2018,0.1,28,60
682,Superior @ Box House,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73731,-73.9545,Private room,18,179,3,4,12/4/2015,0.05,28,81
683,"Read it 1st, A seprat fur BR, low $",1267021,Sharma,Queens,Jackson Heights,40.74965,-73.89344,Private room,5,54,5,56,7/6/2019,0.66,3,365
684,2 BR Duplex @ Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73793,-73.95316,Private room,60,599,3,7,11/16/2018,0.08,28,60
685,Husband & Wife Art-Filled Apartment,1336542,Stephanie,Brooklyn,Clinton Hill,40.68197,-73.96549,Entire home/apt,11,110,1,2,1/13/2014,0.03,1,0
686,"3BR, 2 bathroom condo in Bushwick",1340007,Roger,Brooklyn,Bushwick,40.70271,-73.91566,Entire home/apt,22,220,2,178,6/24/2019,2.69,1,297
687,"The BLUE OWL:
VEGETARIAN WBURG W PATIO & BACKYARD!",1302029,Bree,Brooklyn,Williamsburg,40.7116,-73.9529,Private room,9,89,30,30,5/31/2019,0.8,1,91
688,Cozy 2 Bedroom 20 Min from City,1343630,Antonio,Brooklyn,Bedford-Stuyvesant,40.69241,-73.94885,Entire home/apt,17,170,2,190,6/23/2019,2.04,1,315
689,NOLITA! LOCATION! LOCATION! VIEWS! FREE GYM!,506779,Claudia,Manhattan,Nolita,40.72004,-73.99424,Entire home/apt,50,495,7,25,6/30/2019,0.27,2,338
690,"Entire apt NYC, Queens. 15 min from Times Square.",1346437,Cristina,Queens,Sunnyside,40.74511,-73.92398,Entire home/apt,8,80,10,81,5/31/2019,0.98,2,40
691,Luxury Chelsea Townhouse at the High Line,1347034,Janine,Manhattan,Chelsea,40.74599,-74.00253,Entire home/apt,76,760,2,7,6/22/2019,0.08,1,361
692,Alchemy BnB - room in artist loft,1348494,Pamela,Brooklyn,Cobble Hill,40.68946,-73.99385,Private room,10,98,4,216,7/1/2019,2.31,1,288
693,Sunny! 2br Steps to train/restaurants - 15 to NYC,315401,Jaime,Brooklyn,Bedford-Stuyvesant,40.68226,-73.95473,Entire home/apt,13,125,30,31,1/28/2019,0.33,1,218
694,Zen Den (Airport Pickup: JFK & LGA),1123923,Adolfo,Brooklyn,Cypress Hills,40.67855,-73.8896,Private room,5,48,90,53,8/12/2017,0.57,2,1
695,Heart of Williamsburg. Brand New.,1356046,Daniel,Brooklyn,Williamsburg,40.71408,-73.9489,Private room,6,64,3,247,6/21/2019,2.65,2,117
696,"Fresh, Clean Brooklyn Garden Apt.",1358312,S,Brooklyn,Clinton Hill,40.68618,-73.96144,Entire home/apt,15,154,3,233,4/10/2019,2.5,1,0
697,Guest Apartment in Owner Occupied Home,1354758,Annie,Brooklyn,Park Slope,40.67379,-73.98454,Entire home/apt,14,139,3,135,6/24/2019,1.45,1,204
698,My Home Is Your Home,1233267,Kim,Queens,St. Albans,40.70554,-73.76637,Private room,8,75,4,20,12/30/2015,0.23,1,0
699,Spacious & Stylish Chelsea One Bedroom Apartment,436599,Chad,Manhattan,West Village,40.74031,-74.00532,Entire home/apt,33,325,4,46,6/2/2019,0.5,1,20
700,CHELSEA 1 Bdrm Plus Sleeping Loft!!,1359611,Andrea,Manhattan,Chelsea,40.74618,-74.00392,Entire home/apt,20,195,365,10,10/26/2014,0.12,1,0
701,Spacious room in beautiful apt! ,1360043,Adrienne,Manhattan,Harlem,40.81872,-73.94567,Private room,6,58,1,143,6/30/2018,2.83,1,0
702,"Oceanview,close to Manhattan",1360198,Marina,Staten Island,Arrochar,40.59251,-74.06479,Entire home/apt,25,250,2,21,5/22/2019,0.26,4,333
703,"Affordable rooms,all transportation",1360198,Marina,Staten Island,Arrochar,40.59101,-74.06685,Private room,5,50,7,0,,,4,189
704,"Budget stay, near transportation",1360198,Marina,Staten Island,Arrochar,40.59262,-74.06659,Entire home/apt,13,125,2,8,5/19/2019,0.09,4,353
705,Fort Greene brownstone 1BR- SUBLET,52335,Alexander,Brooklyn,Fort Greene,40.69142,-73.97203,Entire home/apt,7,70,7,4,8/28/2017,0.05,2,0
706,NewYork Modern Pre-War LoftStudio ,480943,Ro,Manhattan,Upper East Side,40.76928,-73.95021,Entire home/apt,19,189,2,314,7/1/2019,3.45,2,206
707,Cozy Artist Duplex **Bedstuy Charm**,696482,Christine,Brooklyn,Bedford-Stuyvesant,40.68338,-73.95289,Entire home/apt,13,130,3,18,6/18/2019,0.25,1,1
708,Apartment in Best location in NYC,1370358,Keiko,Manhattan,West Village,40.72953,-74.00462,Entire home/apt,15,145,7,11,5/27/2015,0.12,1,0
709,Inspired in Historic Downtown NYC!,568103,Liah,Manhattan,Financial District,40.70523,-74.01345,Private room,10,101,7,51,6/2/2019,0.55,1,307
710,Chelsea/West Village - 2bdrm apt,1372786,Lindsey,Manhattan,Chelsea,40.74025,-74.00161,Private room,10,95,5,20,4/1/2017,0.33,1,0
711,1500+ sq ft 2BR West Village Loft,1359519,Nadya,Manhattan,West Village,40.73378,-74.00429,Entire home/apt,38,375,7,8,12/30/2017,0.12,1,0
712,Cozy & Clean Lower East Side Apt.,1376385,Lauren,Manhattan,Lower East Side,40.72087,-73.99022,Entire home/apt,15,153,31,59,6/6/2019,0.63,1,27
713,Spacious Townhome Apt in Brooklyn,1376778,Wade,Brooklyn,East Flatbush,40.64468,-73.94219,Entire home/apt,9,92,4,54,6/24/2019,0.62,1,27
714,Chic + Stylish room in heart of LowerEastSide NYC!,535128,Juliana,Manhattan,Lower East Side,40.7193,-73.98966,Private room,8,80,5,10,12/31/2018,0.46,1,348
715,Landmark 2 Bedroom West Village NYC,605463,West Village,Manhattan,West Village,40.73312,-74.0042,Entire home/apt,30,300,4,153,6/25/2019,1.66,4,246
716,2 bedroom apt in charming brick townhouse,1380060,Marisa And Colin,Brooklyn,Fort Greene,40.69778,-73.97676,Entire home/apt,15,145,3,110,6/2/2019,1.2,1,15
717,Room in East Village with Private Entrance,1020539,Dominique,Manhattan,East Village,40.72534,-73.98591,Private room,9,88,2,69,1/1/2019,0.91,2,0
718,Cozy&Clean in a great neighborhood,1381171,Nicole,Manhattan,Harlem,40.82151,-73.94516,Entire home/apt,16,155,1,1,1/27/2019,0.18,1,5
719,Prime Williamsburg 1/BD New Condo,1382749,Shaun,Brooklyn,Williamsburg,40.72059,-73.9567,Entire home/apt,19,185,180,24,8/19/2015,0.26,1,0
720,City Skyline Views from every room!,1384111,Joanne,Queens,Sunnyside,40.74558,-73.92324,Private room,7,73,2,95,1/2/2019,1.02,2,0
721,Contemporary & Classic Sanctuary on the Hudson,1384559,C,Manhattan,Upper West Side,40.79433,-73.9765,Entire home/apt,23,225,2,129,4/28/2019,1.41,1,107
722,Comfortable Manhattanville,305972,Allan,Manhattan,Morningside Heights,40.81055,-73.95549,Private room,9,85,7,171,3/31/2019,1.84,2,144
723,Private room w/ queen bed + rooftop,21188,Leo,Brooklyn,Crown Heights,40.6711,-73.95231,Private room,10,99,2,20,6/9/2019,0.59,1,98
724,Zen Eyrie –Airport Pick-Up: JFK/LGA,1123923,Adolfo,Brooklyn,Cypress Hills,40.67962,-73.88928,Private room,5,48,90,17,5/3/2017,0.27,2,0
725,Studio sublet in Hell's kitchen,1390947,Akiko,Manhattan,Theater District,40.76217,-73.98411,Entire home/apt,20,200,5,8,1/8/2015,0.09,1,0
726,Luxury NYC 2 Bedroom with Terrace,1392440,Sandra,Manhattan,Upper East Side,40.76128,-73.96463,Entire home/apt,49,485,7,11,11/1/2015,0.12,1,0
727,Bright unique designer loft in Soho,1394190,Jen,Manhattan,Nolita,40.72313,-73.99438,Entire home/apt,31,310,5,5,7/5/2018,0.09,1,89
728,Spacious  2 bed Loft apartment Bedford L,1394719,Jill,Brooklyn,Williamsburg,40.7177,-73.95576,Entire home/apt,11,110,4,0,,,1,354
729,Beautiful studio by Central Park,1385157,Brian,Manhattan,Upper West Side,40.78448,-73.97289,Entire home/apt,11,109,30,36,3/19/2019,0.39,5,286
730,One bed suite with private garden,1385157,Brian,Manhattan,Upper West Side,40.78304,-73.97447,Entire home/apt,17,167,30,16,3/31/2019,0.17,5,252
731,SUNNY 1 Bedroom APT in Fort Greene - BROOKLYN,1396546,Elena,Brooklyn,Fort Greene,40.68737,-73.97125,Entire home/apt,15,147,15,5,7/12/2018,0.12,1,189
732,West Village cozy 2 bedroom  NYC ,1397061,Asia Joanna,Manhattan,Chelsea,40.74139,-74.0005,Entire home/apt,22,220,4,0,,,1,0
733,2 Bedroom Gem - Prime LES Location,1397115,Drew,Manhattan,Lower East Side,40.71992,-73.98773,Entire home/apt,20,195,4,68,6/3/2019,0.77,1,271
734,REAL 2BR-HEART OF SOHO-LITTLE ITALY,1398809,Roberto  Mike,Manhattan,Little Italy,40.71905,-73.99677,Entire home/apt,20,199,28,89,6/30/2018,0.99,1,0
735,BIG ROOM / DOWNTOWN  LOFT /,638721,Fred,Manhattan,Financial District,40.70741,-74.00102,Private room,7,65,30,10,6/24/2019,1.02,1,0
736,Large Sunny Bedroom in QNS NYC,1402454,Jocelin,Queens,Rego Park,40.73349,-73.86009,Private room,6,55,1,38,7/1/2019,0.85,1,0
